date,icao,station,region,turns,pax,avg_turnaround_min,slot_compliance_pct,ramp_efficiency_pct,fuel_uplift_gal
2026-05-25,OMDW,Dubai DWC,Middle East,23,138,43,90,69,23690
2026-05-26,OMDW,Dubai DWC,Middle East,24,144,44,90,69,24720
2026-05-13,OMAA,Abu Dhabi,Middle East,24,168,44,89,70,26640
2026-05-14,OMAA,Abu Dhabi,Middle East,25,175,45,89,70,27750
2026-05-15,OMAA,Abu Dhabi,Middle East,26,182,46,89,70,28860
2026-05-16,OMAA,Abu Dhabi,Middle East,27,189,44,89,70,29970
2026-05-17,OMAA,Abu Dhabi,Middle East,28,196,45,89,70,31080
2026-05-18,OMAA,Abu Dhabi,Middle East,24,168,46,89,70,26640
2026-05-19,OMAA,Abu Dhabi,Middle East,25,175,44,89,70,27750
2026-05-20,OMAA,Abu Dhabi,Middle East,26,182,45,89,70,28860
2026-05-21,OMAA,Abu Dhabi,Middle East,27,189,46,89,70,29970
2026-05-22,OMAA,Abu Dhabi,Middle East,28,196,44,89,70,31080
2026-05-23,OMAA,Abu Dhabi,Middle East,24,168,45,89,70,26640
2026-05-24,OMAA,Abu Dhabi,Middle East,25,175,46,89,70,27750
2026-05-25,OMAA,Abu Dhabi,Middle East,26,182,44,89,70,28860
2026-05-26,OMAA,Abu Dhabi,Middle East,27,189,45,89,70,29970
2026-05-13,LFPB,Paris Le Bourget,Europe,27,216,45,88,71,32130
2026-05-14,LFPB,Paris Le Bourget,Europe,28,224,46,88,71,33320
2026-05-15,LFPB,Paris Le Bourget,Europe,29,232,47,88,71,34510
2026-05-16,LFPB,Paris Le Bourget,Europe,30,240,45,88,71,35700
2026-05-17,LFPB,Paris Le Bourget,Europe,31,248,46,88,71,36890
2026-05-18,LFPB,Paris Le Bourget,Europe,27,216,47,88,71,32130
2026-05-19,LFPB,Paris Le Bourget,Europe,28,224,45,88,71,33320
2026-05-20,LFPB,Paris Le Bourget,Europe,29,232,46,88,71,34510
2026-05-21,LFPB,Paris Le Bourget,Europe,30,240,47,88,71,35700
2026-05-22,LFPB,Paris Le Bourget,Europe,31,248,45,88,71,36890
2026-05-23,LFPB,Paris Le Bourget,Europe,27,216,46,88,71,32130
2026-05-24,LFPB,Paris Le Bourget,Europe,28,224,47,88,71,33320
2026-05-25,LFPB,Paris Le Bourget,Europe,29,232,45,88,71,34510
2026-05-26,LFPB,Paris Le Bourget,Europe,30,240,46,88,71,35700
2026-05-13,EGKB,London Biggin Hill,Europe,30,150,46,87,72,38100
2026-05-14,EGKB,London Biggin Hill,Europe,31,155,47,87,72,39370
2026-05-15,EGKB,London Biggin Hill,Europe,32,160,48,87,72,40640
2026-05-16,EGKB,London Biggin Hill,Europe,33,165,46,87,72,41910
2026-05-17,EGKB,London Biggin Hill,Europe,34,170,47,87,72,43180
2026-05-18,EGKB,London Biggin Hill,Europe,30,150,48,87,72,38100
2026-05-19,EGKB,London Biggin Hill,Europe,31,155,46,87,72,39370
2026-05-20,EGKB,London Biggin Hill,Europe,32,160,47,87,72,40640
2026-05-21,EGKB,London Biggin Hill,Europe,33,165,48,87,72,41910
2026-05-22,EGKB,London Biggin Hill,Europe,34,170,46,87,72,43180
2026-05-23,EGKB,London Biggin Hill,Europe,30,150,47,87,72,38100
2026-05-24,EGKB,London Biggin Hill,Europe,31,155,48,87,72,39370
2026-05-25,EGKB,London Biggin Hill,Europe,32,160,46,87,72,40640
2026-05-26,EGKB,London Biggin Hill,Europe,33,165,47,87,72,41910
2026-05-13,LIRA,Rome Ciampino,Europe,33,198,47,91,73,44550
2026-05-14,LIRA,Rome Ciampino,Europe,34,204,48,91,73,45900
2026-05-15,LIRA,Rome Ciampino,Europe,35,210,49,91,73,47250
2026-05-16,LIRA,Rome Ciampino,Europe,36,216,47,91,73,48600
2026-05-17,LIRA,Rome Ciampino,Europe,37,222,48,91,73,49950
2026-05-18,LIRA,Rome Ciampino,Europe,33,198,49,91,73,44550
2026-05-19,LIRA,Rome Ciampino,Europe,34,204,47,91,73,45900
2026-05-20,LIRA,Rome Ciampino,Europe,35,210,48,91,73,47250
2026-05-21,LIRA,Rome Ciampino,Europe,36,216,49,91,73,48600
2026-05-22,LIRA,Rome Ciampino,Europe,37,222,47,91,73,49950
2026-05-23,LIRA,Rome Ciampino,Europe,33,198,48,91,73,44550
2026-05-24,LIRA,Rome Ciampino,Europe,34,204,49,91,73,45900
2026-05-25,LIRA,Rome Ciampino,Europe,35,210,47,91,73,47250
2026-05-26,LIRA,Rome Ciampino,Europe,36,216,48,91,73,48600
2026-05-13,KMIA,Miami,Americas,36,252,42,90,74,51480
2026-05-14,KMIA,Miami,Americas,37,259,43,90,74,52910
2026-05-15,KMIA,Miami,Americas,38,266,44,90,74,54340
2026-05-16,KMIA,Miami,Americas,39,273,42,90,74,55770
2026-05-17,KMIA,Miami,Americas,40,280,43,90,74,57200
2026-05-18,KMIA,Miami,Americas,36,252,44,90,74,51480
2026-05-19,KMIA,Miami,Americas,37,259,42,90,74,52910
2026-05-20,KMIA,Miami,Americas,38,266,43,90,74,54340
2026-05-21,KMIA,Miami,Americas,39,273,44,90,74,55770
2026-05-22,KMIA,Miami,Americas,40,280,42,90,74,57200
2026-05-23,KMIA,Miami,Americas,36,252,43,90,74,51480
2026-05-24,KMIA,Miami,Americas,37,259,44,90,74,52910
2026-05-25,KMIA,Miami,Americas,38,266,42,90,74,54340
2026-05-26,KMIA,Miami,Americas,39,273,43,90,74,55770
2026-05-13,RJTT,Tokyo Haneda,Asia Pacific,39,312,43,89,75,58890
2026-05-14,RJTT,Tokyo Haneda,Asia Pacific,40,320,44,89,75,60400
2026-05-15,RJTT,Tokyo Haneda,Asia Pacific,41,328,45,89,75,61910
2026-05-16,RJTT,Tokyo Haneda,Asia Pacific,42,336,43,89,75,63420
2026-05-17,RJTT,Tokyo Haneda,Asia Pacific,43,344,44,89,75,64930
2026-05-18,RJTT,Tokyo Haneda,Asia Pacific,39,312,45,89,75,58890
2026-05-19,RJTT,Tokyo Haneda,Asia Pacific,40,320,43,89,75,60400
2026-05-20,RJTT,Tokyo Haneda,Asia Pacific,41,328,44,89,75,61910
2026-05-21,RJTT,Tokyo Haneda,Asia Pacific,42,336,45,89,75,63420
2026-05-22,RJTT,Tokyo Haneda,Asia Pacific,43,344,43,89,75,64930
2026-05-23,RJTT,Tokyo Haneda,Asia Pacific,39,312,44,89,75,58890
2026-05-24,RJTT,Tokyo Haneda,Asia Pacific,40,320,45,89,75,60400
2026-05-25,RJTT,Tokyo Haneda,Asia Pacific,41,328,43,89,75,61910
2026-05-26,RJTT,Tokyo Haneda,Asia Pacific,42,336,44,89,75,63420
